yymm,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,Target
0309 22:30,-4.394,-6.25,-1.094,-2.922,-2.196,-2.519,19.743,-2.54,-4.06,-5.773,16.198,-2.201,-2.167,-2.662,-0.967,-1.843,-3.831,-0.687,0.345,-3.411,-67.695,-3.478,-5.926,-1.951,-3.779,-1.102,18.662
0309 22:40,-4.2,-5.417,-1.02,-2.762,-2.196,-2.579,18.214,-2.706,-4.06,-5.689,16.198,-2.268,-2.134,-2.745,-0.992,-1.843,-5.664,-0.687,0.345,-3.361,-47.695,-3.411,-5.792,-1.951,-3.506,-1.029,34.087
0309 22:50,-4.06,-4.584,-0.987,-2.628,-2.196,-2.676,16.681,-2.873,-4.06,-5.606,26.198,-2.268,-2.134,-2.828,-1.092,-1.809,-7.498,-0.76,0.345,-3.311,-57.695,-3.381,-5.589,-2.051,-3.206,-1.139,48.244
0309 23:00,-3.997,-3.75,-0.92,-2.358,-2.196,-2.676,15.207,-3.04,-3.97,-5.523,16.198,-2.268,-2.167,-2.912,-1.092,-1.743,-9.331,-0.797,0.345,-3.261,-37.695,-3.321,-5.389,-2.051,-2.946,-1.139,15.462
0309 23:10,-3.864,-3.417,-0.794,-2.225,-2.196,-3.376,13.117,-2.873,-3.97,-5.406,26.198,-2.304,-2.1,-2.978,-1.129,-1.713,-9.831,-0.797,0.345,-3.244,-47.695,-3.078,-5.262,-2.051,-2.736,-1.239,13.12
0309 23:20,-3.827,-3.084,-0.72,-1.955,-2.196,-4.042,11.251,-2.706,-3.86,-5.289,16.198,-2.378,-2.067,-3.045,-1.202,-1.653,-10.331,-0.83,0.345,-3.227,-37.695,-2.944,-5.189,-2.051,-2.736,-1.239,13.447
0309 23:30,-3.737,-2.75,-0.72,-1.828,-2.196,-4.709,9.284,-2.54,-3.86,-5.173,26.198,-2.378,-2.067,-3.112,-1.202,-1.653,-10.831,-0.897,0.245,-3.211,-37.695,-2.881,-5.022,-2.141,-2.609,-1.329,2.051
0309 23:40,-3.664,-2.417,-0.66,-1.688,-2.196,-5.182,8.344,-2.373,-3.73,-5.056,16.198,-2.378,-2.067,-3.178,-1.269,-1.653,-11.331,-0.897,0.245,-3.194,-37.695,-2.821,-4.962,-2.141,-2.469,-1.329,25.413
0309 23:50,-3.594,-2.084,-0.594,-1.628,-2.196,-5.709,7.614,-2.206,-3.67,-4.939,16.198,-2.378,-2.067,-3.245,-1.302,-1.683,-11.831,-0.957,0.245,-3.177,-37.695,-2.821,-4.852,-2.241,-2.279,-1.429,24.584
0310 00:00,-3.594,-1.75,-0.52,-1.562,-2.196,-6.182,7.081,-2.04,-3.67,-4.823,16.198,-2.378,-2.067,-3.312,-1.302,-1.683,-12.331,-0.987,0.245,-3.161,-37.695,-2.754,-4.792,-2.241,-2.006,-1.429,16.993
0310 00:10,-3.527,-1.417,-0.557,-1.422,-2.196,-6.319,6.481,-2.206,-3.596,-4.723,16.198,-2.341,-2.067,-3.528,-1.302,-1.653,-12.831,-0.987,0.245,-3.311,-27.695,-2.648,-4.652,-2.275,-1.606,-1.429,32.95
0310 00:20,-3.467,-1.084,-0.63,-1.262,-2.196,-6.119,6.081,-2.373,-3.47,-4.623,26.198,-2.268,-2.067,-3.745,-1.362,-1.713,-13.331,-1.02,0.245,-3.461,-37.695,-2.721,-4.586,-2.341,-1.139,-1.496,32.994
0310 00:30,-3.437,-0.75,-0.56,-1.188,-2.196,-5.976,5.541,-2.54,-3.33,-4.523,16.198,-2.234,-2.067,-3.962,-1.392,-1.843,-13.831,-1.02,0.211,-3.611,-37.695,-2.721,-4.462,-2.378,-0.669,-1.529,12.75
0310 00:40,-3.23,-0.417,-0.487,-1.158,-2.196,-6.382,5.147,-2.706,-3.326,-4.423,16.198,-2.168,-2.067,-4.178,-1.392,-1.843,-14.331,-1.087,0.211,-3.761,-37.695,-2.788,-4.357,-2.451,-0.336,-1.529,4.52
0310 00:50,-3.06,-0.084,-0.52,-1.025,-2.196,-6.976,4.684,-2.873,-3.26,-4.323,16.198,-2.168,-2.067,-4.395,-1.425,-1.953,-14.831,-1.112,0.505,-3.911,-37.695,-3.011,-4.262,-2.485,0.161,-1.566,40.958
0310 01:00,-3.2,0.25,-0.52,-0.988,-2.196,-6.684,4.411,-3.04,-3.26,-4.223,16.198,-2.168,-2.067,-4.612,-1.492,-1.953,-15.331,-1.187,0.645,-4.061,-47.695,-3.343,-4.119,-2.551,0.629,-1.639,3.473
0310 01:10,-3.237,0.583,-0.63,-0.891,-2.196,-6.009,4.151,-3.04,-3.293,-4.073,26.198,-2.168,-2.067,-4.795,-1.492,-1.953,-15.498,-1.187,0.645,-4.178,-57.695,-3.914,-4.052,-2.551,0.927,-1.639,20.895
0310 01:20,-3.237,0.916,-0.63,-0.665,-2.196,-4.142,3.877,-3.04,-3.36,-3.923,16.198,-2.168,-2.007,-4.978,-1.492,-1.975,-15.664,-1.187,0.645,-4.294,-57.695,-4.321,-3.926,-2.641,1.027,-1.639,42.405
0310 01:30,-3.237,1.25,-0.63,-0.598,-2.196,-3.009,3.611,-3.04,-3.47,-3.773,16.198,-2.168,-2.067,-5.162,-1.492,-2.043,-15.831,-1.297,0.535,-4.411,-57.695,-4.248,-3.852,-2.641,1.094,-1.639,43.797
0310 01:40,-3.297,1.583,-0.72,-0.525,-2.196,-2.282,3.371,-3.04,-3.47,-3.623,16.198,-2.168,-2.067,-5.345,-1.492,-2.043,-15.998,-1.297,0.535,-4.528,-27.695,-4.084,-3.762,-2.741,1.154,-1.672,0.659
0310 01:50,-3.327,1.916,-0.72,-0.388,-2.196,-2.082,3.051,-3.04,-3.47,-3.473,16.198,-2.168,-1.977,-5.528,-1.559,-2.116,-16.164,-1.297,0.501,-4.644,-37.695,-3.944,-3.689,-2.741,1.154,-1.739,44.968
0310 02:00,-3.327,2.25,-0.69,-0.388,-2.096,-1.579,2.811,-3.04,-3.47,-3.323,-3.802,-2.168,-1.977,-5.712,-1.592,-2.116,-16.331,-1.363,0.435,-4.761,-57.695,-3.821,-3.456,-2.841,1.191,-1.739,2.533
0310 02:10,-3.467,3.083,-0.557,-0.122,-2.162,-1.179,2.617,-3.04,-3.326,-3.223,-3.802,-2.168,-1.977,-5.862,-1.592,-2.116,-16.664,-1.397,0.435,-4.791,-47.695,-3.821,-3.262,-2.841,1.264,-1.739,41.146
0310 02:20,-3.667,3.916,-0.36,0.078,-2.129,-1.176,2.481,-3.04,-3.26,-3.123,-3.802,-2.134,-1.977,-6.012,-1.592,-2.153,-16.998,-1.397,0.375,-4.831,-57.695,-3.754,-3.262,-2.878,1.354,-1.739,31.977
0310 02:30,-3.782,4.75,-0.42,0.202,-2.129,-0.976,2.281,-3.04,-3.36,-3.023,-3.802,-2.134,-1.977,-6.162,-1.592,-2.153,-17.331,-1.487,0.245,-4.861,-47.695,-3.821,-3.189,-2.951,1.494,-1.799,23.791
0310 02:40,-3.797,5.583,-0.33,0.202,-2.096,-0.709,2.111,-3.04,-3.36,-2.923,-3.802,-2.101,-1.977,-6.312,-1.702,-2.153,-17.664,-1.487,0.108,-4.891,-47.695,-3.821,-3.022,-2.985,1.727,-1.769,25.524
0310 02:50,-3.737,6.416,-0.33,0.238,-2.096,-0.842,1.984,-3.04,-3.36,-2.823,-3.802,-2.101,-1.977,-6.462,-1.702,-2.079,-17.998,-1.487,0.035,-4.931,-47.695,-3.821,-2.962,-3.051,1.727,-1.829,1.102
0310 03:00,-3.797,7.25,-0.33,0.445,-2.129,-0.782,1.914,-3.04,-3.36,-2.723,-3.802,-2.068,-1.977,-6.612,-1.702,-2.043,-18.331,-1.553,-0.065,-4.961,-37.695,-3.944,-2.852,-3.051,1.824,-1.829,22.065
0310 03:10,-3.737,7.25,-0.33,0.402,-2.129,-0.509,1.781,-2.873,-3.36,-2.589,-3.802,-2.068,-1.977,-6.612,-1.702,-2.043,-10.831,-1.587,-0.125,-4.961,-57.695,-4.011,-2.852,-3.051,1.764,-1.829,46.284
0310 03:20,-3.664,7.25,-0.294,0.475,-2.162,-0.142,1.714,-2.706,-3.293,-2.456,-3.802,-1.978,-1.977,-6.612,-1.702,-1.953,-3.331,-1.587,-0.189,-4.961,-47.695,-4.048,-2.762,-3.141,1.764,-1.829,39.524
0310 03:30,-3.664,7.25,-0.22,0.402,-2.096,-0.342,1.641,-2.54,-3.293,-2.323,-3.802,-1.978,-1.944,-6.612,-1.702,-2.013,4.169,-1.62,-0.255,-4.961,-57.695,-4.181,-2.689,-3.141,1.691,-1.829,8.114
0310 03:40,-3.497,7.25,-0.094,0.342,-2.096,0.386,1.551,-2.373,-3.36,-2.189,-3.802,-1.978,-1.877,-6.612,-1.702,-1.976,11.669,-1.687,-0.355,-4.961,-57.695,-4.411,-2.619,-3.141,1.564,-1.829,14.147
0310 03:50,-3.437,7.25,0.046,0.312,-2.096,0.084,1.411,-2.206,-3.36,-2.056,-3.802,-1.978,-1.977,-6.612,-1.702,-1.916,19.169,-1.687,-0.355,-4.961,-77.695,-4.578,-2.552,-3.141,1.564,-1.896,29.053
0310 04:00,-3.437,7.25,0.11,0.372,-2.096,-0.442,1.214,-2.04,-3.36,-1.923,-3.802,-2.008,-1.91,-6.612,-1.802,-1.953,26.669,-1.687,-0.465,-4.961,-67.695,-4.844,-2.492,-3.241,1.564,-1.896,35.993
0310 04:10,-3.437,7.25,0.147,0.312,-2.096,0.148,1.141,-2.206,-3.36,-1.856,-3.802,-2.008,-1.977,-6.645,-1.802,-1.813,26.669,-1.76,-0.532,-4.991,-57.695,-5.278,-2.426,-3.266,1.564,-1.896,16.118
0310 04:20,-3.437,7.25,0.14,0.312,-2.096,0.421,1.017,-2.373,-3.36,-1.789,-3.802,-1.978,-1.977,-6.678,-1.802,-1.898,26.669,-1.797,-0.565,-5.031,-57.695,-5.478,-2.352,-3.341,1.409,-1.879,8.276
0310 04:30,-3.437,7.25,0.17,0.238,-2.096,0.884,0.951,-2.54,-3.36,-1.723,-3.802,-2.038,-1.977,-6.712,-1.802,-2.013,26.669,-1.797,-0.625,-5.061,-47.695,-5.778,-2.262,-3.378,1.324,-1.929,47.938
0310 04:40,-3.497,7.25,0.17,0.372,-2.096,1.884,0.951,-2.706,-3.36,-1.656,-3.802,-1.978,-1.977,-6.745,-1.802,-1.953,26.669,-1.797,-0.655,-5.091,-47.695,-5.911,-2.189,-3.451,1.191,-1.929,48.345
0310 04:50,-3.437,7.25,0.206,0.312,-2.096,2.658,0.811,-2.873,-3.36,-1.589,-3.802,-1.978,-1.977,-6.778,-1.832,-1.916,26.669,-1.797,-0.722,-5.131,-57.695,-5.911,-2.119,-3.451,1.064,-1.929,3.768
0310 05:00,-3.497,7.25,0.28,0.312,-2.096,2.584,0.751,-3.04,-3.47,-1.523,-3.802,-1.978,-1.977,-6.812,-1.832,-1.843,26.669,-1.897,-0.755,-5.161,-47.695,-5.851,-2.052,-3.451,1.064,-1.929,44.255
0310 05:10,-3.437,7.75,0.206,0.445,-2.096,2.091,0.641,-3.04,-3.47,-1.373,-3.802,-1.978,-1.977,-6.978,-1.892,-1.843,26.502,-1.897,-0.755,-5.241,-57.695,-5.981,-2.022,-3.551,1.064,-1.929,43.001
0310 05:20,-3.527,8.25,0.28,0.545,-2.096,2.558,0.641,-3.04,-3.47,-1.223,-3.802,-1.978,-1.944,-7.145,-1.892,-1.776,26.336,-1.897,-0.855,-5.331,-47.695,-6.181,-1.962,-3.551,0.997,-1.996,42.864
0310 05:30,-3.527,8.75,0.28,0.545,-2.096,3.488,0.611,-3.04,-3.47,-1.073,-3.802,-1.978,-1.944,-7.312,-1.892,-1.743,26.169,-1.957,-0.929,-5.411,-47.695,-6.121,-1.926,-3.641,0.964,-2.029,37.656
0310 05:40,-3.527,9.25,0.28,0.475,-2.096,3.348,0.551,-3.04,-3.47,-0.923,-3.802,-1.978,-1.977,-7.478,-1.892,-1.743,26.002,-1.987,-0.91,-5.491,-47.695,-6.181,-1.852,-3.641,0.964,-2.029,36.865
0310 05:50,-3.527,9.75,0.31,0.402,-2.096,3.624,0.517,-3.04,-3.47,-0.773,-3.802,-1.978,-1.977,-7.645,-1.892,-1.743,25.836,-1.987,-0.965,-5.581,-47.695,-6.381,-1.852,-3.641,0.964,-2.029,13.523
0310 06:00,-3.594,10.25,0.37,0.312,-2.096,2.958,0.451,-3.04,-3.47,-0.623,-3.802,-1.911,-1.977,-7.812,-1.892,-1.743,25.669,-1.987,-1.032,-5.661,-47.695,-6.714,-1.792,-3.641,0.831,-2.029,45.047
0310 06:10,-3.664,10.416,0.28,0.445,-2.096,3.288,0.341,-3.04,-3.47,-0.489,-3.802,-1.878,-1.977,-7.845,-1.892,-1.743,25.669,-1.987,-1.065,-5.661,-57.695,-7.178,-1.762,-3.741,0.764,-2.139,42.577
0310 06:20,-3.737,10.583,0.28,0.612,-2.096,3.938,0.341,-3.04,-3.56,-0.356,-3.802,-1.878,-1.977,-7.879,-1.959,-1.743,25.669,-2.087,-1.065,-5.661,-57.695,-7.511,-1.689,-3.741,0.764,-2.139,36.647
0310 06:30,-3.737,10.75,0.37,0.545,-2.096,4.624,0.311,-3.04,-3.56,-0.223,-3.802,-1.878,-1.977,-7.912,-1.992,-1.743,25.669,-2.087,-1.095,-5.661,-67.695,-7.778,-1.652,-3.841,0.624,-2.139,15.507
0310 06:40,-3.737,10.916,0.37,0.545,-2.096,5.024,0.177,-3.04,-3.56,-0.089,-3.802,-1.878,-1.977,-7.945,-1.992,-1.743,25.669,-2.087,-1.155,-5.661,-77.695,-7.978,-1.652,-3.841,0.564,-2.139,37.352
0310 06:50,-3.797,11.083,0.37,0.745,-2.096,6.084,0.141,-3.04,-3.56,0.044,-3.802,-1.978,-1.977,-7.979,-1.992,-1.743,25.669,-2.153,-1.155,-5.661,-67.695,-8.178,-1.552,-3.878,0.564,-2.139,41.339
0310 07:00,-3.797,11.25,0.37,0.878,-2.096,7.158,0.141,-3.04,-3.56,0.177,-3.802,-1.978,-1.944,-8.012,-1.992,-1.743,25.669,-2.12,-1.155,-5.661,-57.695,-8.178,-1.426,-3.951,0.624,-2.139,0.218
0310 07:10,-3.87,11.416,0.48,1.345,-2.096,7.218,0.051,-3.04,-3.417,0.294,-3.802,-1.978,-1.877,-7.945,-1.992,-1.743,25.169,-2.187,-1.255,-5.581,-7.695,-8.111,-1.292,-3.951,0.831,-2.139,32.876
0310 07:20,-3.737,11.583,0.622,1.257,-2.096,7.321,-0.283,-3.04,-3.096,0.411,-3.802,-2.038,-1.877,-7.879,-1.992,-1.883,24.669,-2.187,-1.255,-5.491,-57.695,-8.211,-1.352,-3.976,0.964,-2.139,13.694
0310 07:30,-3.797,11.75,0.743,0.945,-2.096,7.181,-2.059,-3.04,-3.06,0.527,-3.802,-2.068,-1.877,-7.812,-1.892,-1.898,24.169,-2.187,-1.289,-5.411,-47.695,-8.278,-1.352,-4.051,0.559,-2.189,6.514
0310 07:40,-3.737,11.916,1.043,0.678,-2.096,7.488,-3.393,-3.04,-3.193,0.644,-3.802,-2.101,-1.944,-7.745,-1.832,-2.043,23.669,-2.187,-1.355,-5.331,-57.695,-8.344,-1.462,-4.051,0.054,-2.239,42.24
0310 07:50,-3.737,12.083,1.243,0.335,-2.096,7.821,-4.354,-3.04,-3.293,0.761,-3.802,-2.168,-1.977,-7.679,-1.802,-2.043,23.169,-2.223,-1.355,-5.241,-47.695,-8.411,-1.522,-4.051,-0.279,-2.239,38.805
0310 08:00,-3.664,12.25,1.406,0.075,-2.096,8.458,-4.959,-3.04,-3.36,0.877,-3.802,-2.201,-1.977,-7.612,-1.802,-2.109,22.669,-2.297,-1.355,-5.161,-47.695,-8.411,-1.552,-4.051,-0.573,-2.329,22.239
0310 08:10,-3.627,11.25,1.48,-0.165,-2.096,9.191,-5.293,-3.04,-3.296,0.977,-3.802,-2.201,-1.977,-7.262,-1.735,-2.183,23.002,-2.26,-1.392,-4.981,-57.695,-8.344,-1.552,-4.051,-0.779,-2.329,11.703
0310 08:20,-3.56,10.25,1.37,-0.358,-2.096,9.824,-5.726,-3.04,-3.23,1.077,-3.802,-2.268,-1.977,-6.912,-1.702,-2.243,23.336,-2.26,-1.392,-4.791,-37.695,-8.144,-1.652,-4.051,-0.969,-2.329,25.674
0310 08:30,-3.527,9.25,1.31,-0.525,-2.096,9.758,-5.919,-3.04,-3.26,1.177,-3.802,-2.268,-1.977,-6.562,-1.702,-2.243,23.669,-2.297,-1.465,-4.611,-17.695,-8.011,-1.652,-4.051,-1.109,-2.329,7.963
0310 08:40,-3.527,8.25,1.346,-0.658,-2.059,10.118,-6.226,-3.04,-2.993,1.277,-3.802,-2.268,-1.977,-6.212,-1.702,-2.309,24.002,-2.297,-1.465,-4.428,-47.695,-7.878,-1.726,-4.018,-1.376,-2.396,34.851
0310 08:50,-3.382,7.25,1.606,-0.828,-1.986,10.591,-6.486,-3.04,-2.693,1.377,-3.802,-2.268,-1.977,-5.862,-1.702,-2.309,24.336,-2.297,-1.355,-4.244,-47.695,-7.678,-1.726,-4.018,-1.576,-2.396,10.436
0310 09:00,-3.327,6.25,1.58,-0.955,-1.952,11.186,-6.816,-3.04,-2.56,1.477,-3.802,-2.268,-1.977,-5.512,-1.702,-2.309,24.669,-2.297,-1.222,-4.061,-77.695,-7.161,-1.889,-3.915,-1.736,-2.429,23.504
0310 09:10,-3.327,4.75,1.64,-1.098,-1.886,11.514,-7.016,-3.04,-2.36,1.577,-3.802,-2.341,-1.977,-5.145,-1.702,-2.243,24.836,-2.223,-1.095,-3.944,-67.695,-6.484,-2.162,-3.708,-1.736,-2.429,39.596
0310 09:20,-3.327,3.25,1.346,-1.098,-1.852,11.654,-7.316,-3.04,-2.36,1.677,-3.802,-2.378,-1.977,-4.778,-1.665,-2.243,25.002,-2.297,-0.929,-3.827,-57.695,-5.951,-2.526,-3.211,-1.676,-2.429,12.076
0310 09:30,-3.194,1.75,0.746,-1.298,-1.786,11.654,-7.516,-3.04,-2.326,1.777,6.198,-2.378,-2.037,-4.412,-1.592,-2.243,25.169,-2.187,-0.789,-3.711,-47.695,-5.278,-2.726,-2.745,-1.536,-2.496,48.929
0310 09:40,-3.094,0.25,0.003,-1.298,-1.786,11.248,-7.689,-3.04,-2.26,1.877,-3.802,-2.378,-1.977,-4.045,-1.592,-2.243,25.336,-2.187,-0.625,-3.594,-17.695,-4.678,-2.822,-2.145,-1.346,-2.429,6.777
0310 09:50,-2.967,-1.25,-0.79,-1.455,-1.786,9.418,-7.823,-3.04,-2.26,1.977,-3.802,-2.444,-2.037,-3.678,-1.592,-2.309,25.502,-2.187,-0.499,-3.477,132.305,-3.844,-2.762,-1.811,-1.473,-2.429,49.759
0310 10:00,-2.937,-2.75,-1.32,-1.455,-1.786,6.418,-8.086,-3.04,-2.26,2.077,-3.802,-2.378,-1.977,-3.312,-1.592,-2.276,25.669,-2.187,-0.322,-3.361,112.305,-3.178,-2.707,-1.381,-1.573,-2.462,0.649
0310 10:10,-2.864,-4.417,-1.654,-1.628,-1.756,0.648,-8.159,-3.04,-2.36,2.161,-3.802,-2.378,-1.977,-2.895,-1.525,-2.343,18.836,-2.187,-0.255,-3.277,-7.695,-2.378,-1.796,-1.115,-1.706,-2.462,24.985
0310 10:20,-2.827,-6.084,-2.025,-1.762,-1.696,-5.019,-8.249,-3.04,-2.285,2.244,-3.802,-2.378,-1.977,-2.478,-1.492,-2.343,12.002,-2.162,-0.155,-3.194,-37.695,-1.918,-1.189,-0.741,-2.006,-2.429,21.338
0310 10:30,-2.9,-7.75,-2.454,-1.798,-1.696,-8.809,-8.249,-3.04,-2.26,2.327,-3.802,-2.304,-1.927,-2.062,-1.492,-2.343,5.169,-2.087,-0.095,-3.111,-27.695,-1.414,-0.626,-0.481,-2.279,-2.429,2.088
0310 10:40,-2.9,-9.417,-2.594,-1.828,-1.696,-10.749,-7.919,-3.04,-2.133,2.411,-3.802,-2.323,-1.877,-1.645,-1.525,-2.343,-1.664,-2.087,-0.032,-3.027,-37.695,-1.014,-0.352,-0.275,-2.436,-2.396,34.602
0310 10:50,-2.827,-11.084,-2.86,-1.888,-1.696,-12.952,-7.326,-3.04,-2.06,2.494,6.198,-2.268,-1.877,-1.228,-1.665,-2.309,-8.498,-2.087,0.035,-2.944,-37.695,-0.651,-0.322,-0.018,-2.561,-2.329,35.795
0310 11:00,-2.827,-12.75,-3.06,-1.958,-1.629,-14.952,-6.509,-3.04,-1.933,2.577,-3.802,-2.268,-1.84,-0.812,-1.702,-2.309,-15.331,-2.053,0.145,-2.861,-17.695,-0.511,-0.189,0.122,-2.809,-2.329,13.927
0310 11:10,-2.767,-13.75,-3.32,-2.232,-1.629,-16.776,-5.986,-2.873,-1.86,2.627,-3.802,-2.168,-1.767,-0.495,-1.702,-2.243,-14.831,-1.987,0.211,-2.794,-17.695,-0.381,-0.152,0.259,-3.103,-2.329,49.913
0310 11:20,-2.73,-14.75,-3.654,-2.525,-1.629,-17.042,-5.859,-2.706,-1.86,2.677,-3.802,-2.234,-1.767,-0.178,-1.769,-2.243,-14.331,-1.987,0.538,-2.727,-27.695,-0.321,-0.086,0.259,-3.436,-2.396,35.547
0310 11:30,-2.997,-15.75,-3.954,-2.732,-1.596,-16.742,-5.719,-2.54,-1.86,2.727,-3.802,-2.268,-1.767,0.138,-1.802,-2.243,-13.831,-1.927,0.871,-2.661,-27.695,-0.078,-0.052,0.259,-3.676,-2.329,45.815
0310 11:40,-3.164,-16.75,-4.227,-3.025,-1.596,-17.149,-5.659,-2.373,-2,2.777,-3.802,-2.201,-1.634,0.455,-1.802,-2.109,-13.331,-1.897,0.935,-2.594,-27.695,0.056,-0.052,0.259,-3.869,-2.329,39.17
0310 11:50,-3.164,-17.75,-4.454,-3.232,-1.596,-18.264,-5.659,-2.206,-2.06,2.827,-3.802,-2.101,-1.507,0.772,-1.802,-2.043,-12.831,-1.897,1.001,-2.527,-17.695,0.234,-0.052,0.259,-4.213,-2.239,30.93
0310 12:00,-3.237,-18.75,-4.594,-3.458,-1.596,-19.552,-5.586,-2.04,-2,2.877,-3.802,-2.168,-1.34,1.088,-1.802,-2.043,-12.331,-1.797,1.09,-2.461,72.305,0.419,-0.119,0.259,-4.473,-2.172,32.778
0310 12:10,-3.394,-19.084,-4.72,-3.598,-1.596,-19.412,-5.549,-2.206,-2.193,2.927,6.198,-2.134,-1.267,1.222,-1.802,-2.043,-12.331,-1.723,1.145,-2.411,-47.695,0.619,-0.086,0.259,-4.713,-1.996,29.335
0310 12:20,-3.527,-19.417,-4.794,-3.755,-1.596,-20.182,-5.549,-2.373,-2.23,2.977,-3.802,-2.134,-1.067,1.355,-1.802,-2.116,-12.331,-1.653,1.145,-2.361,-37.695,0.816,-0.152,0.259,-4.906,-1.862,0.562
0310 12:30,-3.437,-19.75,-4.83,-3.888,-1.596,-20.516,-5.549,-2.54,-2.23,3.027,-3.802,-2.168,-0.94,1.488,-1.802,-2.153,-12.331,-1.52,1.145,-2.311,-37.695,0.949,-0.152,0.259,-5.103,-1.706,32.044
0310 12:40,-3.364,-20.084,-4.83,-4.032,-1.596,-20.709,-5.549,-2.706,-2.33,3.077,-3.802,-2.168,-0.734,1.622,-1.802,-2.213,-12.331,-1.397,1.211,-2.261,-27.695,1.122,-0.086,0.259,-5.309,-1.566,20.896
0310 12:50,-3.364,-20.417,-4.83,-4.098,-1.596,-21.376,-5.516,-2.873,-2.53,3.127,-3.802,-2.168,-0.6,1.755,-1.832,-2.243,-12.331,-1.33,1.245,-2.211,-37.695,1.249,-0.152,0.259,-5.469,-1.396,26.795
0310 13:00,-3.497,-20.75,-4.83,-4.255,-1.522,-21.886,-5.516,-3.04,-2.67,3.177,6.198,-2.168,-0.477,1.888,-1.832,-2.243,-12.331,-1.187,1.245,-2.161,-17.695,1.322,-0.226,0.259,-5.669,-1.329,30.197
0310 13:10,-3.7,-21.417,-4.72,-4.462,-1.486,-21.946,-5.549,-3.04,-2.67,3.194,16.198,-2.101,-0.477,1.938,-1.892,-2.243,-13.164,-1.12,1.145,-2.277,-27.695,1.049,-0.262,0.225,-5.969,-1.362,35.14
0310 13:20,-3.5,-22.084,-4.72,-4.598,-1.522,-21.309,-5.549,-3.04,-2.896,3.211,26.198,-2.101,-0.567,1.988,-1.892,-2.183,-13.998,-1.187,1.211,-2.394,-27.695,1.049,-0.262,0.159,-6.109,-1.429,27.188
0310 13:30,-3.364,-22.75,-4.787,-4.598,-1.522,-21.976,-5.549,-3.04,-2.97,3.227,16.198,-2.068,-0.567,2.038,-1.892,-2.183,-14.831,-1.187,1.245,-2.511,82.305,1.189,-0.262,0.122,-6.176,-1.429,22.321
0310 13:40,-3.564,-23.417,-4.92,-4.738,-1.486,-21.319,-5.623,-3.04,-2.865,3.244,16.198,-2.068,-0.617,2.088,-1.892,-2.109,-15.664,-1.187,1.245,-2.627,-47.695,1.419,-0.262,0.024,-6.309,-1.429,36.907
0310 13:50,-3.694,-24.084,-4.86,-4.822,-1.559,-22.586,-5.659,-3.04,-2.396,3.261,-3.802,-2.023,-0.567,2.138,-1.832,-2.098,-16.498,-1.087,1.278,-2.744,-37.695,1.619,-0.262,-0.051,-6.346,-1.429,12.718
0310 14:00,-3.9,-24.75,-4.757,-4.888,-1.559,-23.986,-5.719,-3.04,-2.596,3.277,-3.802,-1.978,-0.507,2.188,-1.892,-1.953,-17.331,-1.02,1.278,-2.861,-37.695,1.919,-0.389,-0.051,-6.346,-1.362,21.341
0310 14:10,-4.06,-24.75,-4.89,-4.925,-1.486,-24.379,-5.749,-3.04,-3.1,3.344,-3.802,-1.978,-0.267,2.238,-1.892,-2.013,-17.164,-0.987,1.245,-2.794,-47.695,2.119,-0.462,-0.051,-6.541,-1.239,11.23
0310 14:20,-4.26,-24.75,-5.02,-5.125,-1.486,-26.012,-5.823,-3.04,-3.433,3.411,-3.802,-1.978,-0.267,2.288,-1.892,-2.183,-16.998,-0.987,1.178,-2.727,-47.695,2.052,-0.522,-0.141,-6.676,-1.239,36.404
0310 14:30,-4.467,-24.75,-5.02,-5.222,-1.486,-25.619,-5.549,-3.04,-3.47,3.477,-3.802,-1.978,-0.304,2.338,-1.892,-2.309,-16.831,-0.957,1.108,-2.661,-57.695,1.979,-0.462,-0.141,-6.736,-1.239,15.76
0310 14:40,-4.594,-24.75,-4.92,-5.288,-1.486,-27.276,-5.219,-3.04,-3.53,3.544,6.198,-1.878,-0.304,2.388,-1.892,-2.379,-16.664,-0.897,1.035,-2.594,-47.695,2.049,-0.552,-0.241,-6.876,-1.239,11.141
0310 14:50,-4.767,-24.75,-4.92,-5.322,-1.486,-29.287,-5.159,-3.04,-3.596,3.611,-3.802,-1.878,-0.167,2.438,-1.892,-2.513,-16.498,-0.897,1.001,-2.527,-47.695,2.339,-0.619,-0.241,-6.936,-1.172,12.433
0310 15:00,-4.827,-24.75,-4.92,-5.528,-1.486,-30.646,-5.249,-3.04,-3.67,3.677,-3.802,-1.878,-0.1,2.488,-1.892,-2.483,-16.331,-0.83,0.935,-2.461,-37.695,2.389,-0.652,-0.241,-7.176,-0.996,37.403
0310 15:10,-5.077,-24.917,-4.92,-5.662,-1.486,-31.346,-5.323,-2.873,-3.76,3.711,-3.802,-1.804,0.056,2.472,-1.892,-2.483,-16.331,-0.797,0.935,-2.544,-47.695,2.316,-0.726,-0.241,-7.309,-0.929,13.506
0310 15:20,-5.164,-25.084,-4.92,-5.788,-1.452,-32.746,-5.483,-2.706,-3.826,3.744,-3.802,-1.768,0.196,2.455,-1.892,-2.579,-16.331,-0.723,0.845,-2.627,-37.695,2.522,-0.762,-0.241,-7.506,-0.896,24.431
